# Hostname: v20n81.pbm.ihost.com
# Start Time: Sat Aug 18 02:20:49 EDT 2007

#
# Run: 1
#


## Block Size: 16
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       16       ok        8        1240.35
        256    1    2       16       ok        5        2020.65
        256    2    1       16       ok        5        1994.63
        256    2    2       16       ok        3        2976.25


## Block Size: 16
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       16       ok       77        1151.78
        512    1    2       16       ok       54        1632.60
        512    2    1       16       ok       54        1638.98
        512    2    2       16       ok       24        3697.08


## Block Size: 16
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       16       ok      830         861.78
       1024    1    2       16       ok      902         792.92
       1024    2    1       16       ok      925         772.86
       1024    2    2       16       ok      197        3613.74


## Block Size: 16
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       16       ok    10673         536.34
       2048    1    2       16       ok    21487         266.42
       2048    2    1       16       ok    25733         222.45
       2048    2    2       16       ok     1997        2866.41


## Block Size: 16
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1       16       ok   161491         283.63
       4096    1    2       16       ok  1499739          30.54
       4096    2    1       16       ok  1568571          29.20
       4096    2    2       16       ok    24038        1905.50


## Block Size: 32
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       32       ok        5        1884.42
        256    1    2       32       ok        3        3098.64
        256    2    1       32       ok        3        3069.64
        256    2    2       32       ok        2        4175.22


## Block Size: 32
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       32       ok       37        2384.12
        512    1    2       32       ok       20        4430.59
        512    2    1       32       ok       20        4427.08
        512    2    2       32       ok       11        8093.79


## Block Size: 32
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       32       ok      276        2584.59
       1024    1    2       32       ok      156        4581.84
       1024    2    1       32       ok      154        4620.28
       1024    2    2       32       ok       72        9916.59


## Block Size: 32
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       32       ok     2279        2511.54
       2048    1    2       32       ok     1697        3372.36
       2048    2    1       32       ok     1765        3241.83
       2048    2    2       32       ok      554       10324.20


## Block Size: 32
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1       32       ok    22652        2022.03
       4096    1    2       32       ok    37245        1229.79
       4096    2    1       32       ok    39147        1170.05
       4096    2    2       32       ok     4895        9355.74


## Block Size: 64
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       64       ok        6        1778.63
        256    1    2       64       ok        4        2592.28
        256    2    1       64       ok        4        2520.22
        256    2    2       64       ok        3        3132.58


## Block Size: 64
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       64       ok       35        2503.64
        512    1    2       64       ok       19        4546.48
        512    2    1       64       ok       19        4484.86
        512    2    2       64       ok       11        7838.86


## Block Size: 64
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       64       ok      230        3107.24
       1024    1    2       64       ok      120        5926.24
       1024    2    1       64       ok      121        5876.15
       1024    2    2       64       ok       63       11214.80


## Block Size: 64
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       64       ok     1654        3459.55
       2048    1    2       64       ok      855        6692.53
       2048    2    1       64       ok      853        6703.55
       2048    2    2       64       ok      430       13310.90


## Block Size: 64
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1       64       ok    12894        3552.27
       4096    1    2       64       ok     6902        6635.60
       4096    2    1       64       ok     6932        6607.63
       4096    2    2       64       ok     3210       14269.30


## Block Size: 128
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1      128       ok       18         610.83
        256    1    2      128       ok       14         760.61
        256    2    1      128       ok       14         756.17
        256    2    2      128       ok       14         761.64


## Block Size: 128
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1      128       ok       77        1153.03
        512    1    2      128       ok       45        1978.68
        512    2    1      128       ok       45        1947.33
        512    2    2      128       ok       34        2618.77


## Block Size: 128
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1      128       ok      377        1893.98
       1024    1    2      128       ok      201        3558.10
       1024    2    1      128       ok      202        3529.43
       1024    2    2      128       ok      115        6202.12


## Block Size: 128
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1      128       ok     2127        2690.60
       2048    1    2      128       ok     1095        5225.08
       2048    2    1      128       ok     1101        5194.84
       2048    2    2      128       ok      575        9944.28


## Block Size: 128
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1      128       ok    13605        3366.68
       4096    1    2      128       ok     6967        6574.14
       4096    2    1      128       ok     6916        6622.87
       4096    2    2      128       ok     3532       12967.50
#
# Run: 3
#


## Block Size: 16
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       16       ok        8        1257.41
        256    1    2       16       ok        5        2021.02
        256    2    1       16       ok        5        2022.49
        256    2    2       16       ok        3        3101.22


## Block Size: 16
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       16       ok       77        1149.72
        512    1    2       16       ok       55        1610.99
        512    2    1       16       ok       55        1601.69
        512    2    2       16       ok       24        3652.20


## Block Size: 16
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       16       ok      855         836.10
       1024    1    2       16       ok      891         802.55
       1024    2    1       16       ok      935         764.63
       1024    2    2       16       ok      196        3639.52


## Block Size: 16
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       16       ok    10768         531.58
       2048    1    2       16       ok    21577         265.31
       2048    2    1       16       ok    25559         223.96
       2048    2    2       16       ok     2016        2838.33


## Block Size: 16
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1       16       ok   160862         284.74
       4096    1    2       16       ok  1502534          30.48
