Sun Jan 20 07:32:18 2008 
vj updated from raw data by separating out data for deg 3 from data for deg 4.

############################################################
# Benchmark Host: r28n01.pbm.ihost.com
# Number Of Processors: 64
# Usable Physical Memory: 513792 MBytes
# SMT Enabled: false
# SMT Threads: 2
#
# Number Of Scheduled Runs: 3
# Start Time: 01/18/2008 - 01:10:23
############################################################

# ===========================================================================
# [Run: 1] (Timings[COLS 4/8]: Seconds)
#   VERTICES      EDGES PROC     BFS[KGraph]       EDGES/Sec
# ===========================================================================

      100000     400000   64        0.018641     21458076.28
     1000000    4000000    1        0.561735      7120795.39
     1000000    4000000    2        0.283908     14089071.11
     1000000    4000000    4        0.153599     26041836.21
     1000000    4000000    8        0.069003     57968494.12
     1000000    4000000   16        0.042553     94000423.00
     1000000    4000000   32        0.039790    100527770.80
     1000000    4000000   64        0.049252     81214976.04
    10000000   40000000    1       11.796222      3390916.18
    10000000   40000000    2        6.268683      6380925.63
    10000000   40000000    4        3.143270     12725601.05
    10000000   40000000    8        1.358420     29445974.00
    10000000   40000000   16        0.667618     59914502.01
    10000000   40000000   32        0.333228    120037931.99
    10000000   40000000   64        0.254004    157477834.99
